authorId,name,slug
208129,Jane Nelsen,jane-nelsen
8218891,Cheryl Erwin,cheryl-erwin
8218892,Roslyn Duffy,roslyn-duffy
196863,Chu Hồng Vân,chu-hong-van
196865,Vũ Thu Hà,vu-thu-ha
46695,Makoto Shichida,makoto-shichida
47726,Ko Shichida ,ko-shichida
286803,Joanna Faber,joanna-faber
841779, Julie King,julie-king
437269,Lê Thị Hải,le-thi-hai
441331,Viện Giáo Dục Shichida Việt Nam,vien-giao-duc-shichida-viet-nam
8228128,Katherine Johnson Martinko,katherine-johnson-martinko
879555,Ito Mika,ito-mika
8235277,White Star,white-star
150811,Erika Takeuchi,erika-takeuchi
8236910,Tiến sĩ Nguyễn Thị Thu,tien-si-nguyen-thi-thu
682453,Adrian Kulp,adrian-kulp
8243673,Tracy M. Slepcevic,tracy-m-slepcevic
10641,Nguyễn Hoàng Phương,nguyen-hoang-phuong
434007,BS Trần Thị Huyên Thảo,bs-tran-thi-huyen-thao
737,Adele Faber,adele-faber
10438,Hoàng Anh Tú,hoang-anh-tu
8227327,Lỹ Tĩnh,ly-tinh
40749,Susan Mayclin Stephenson,susan-mayclin-stephenson
8248294,Russell A. Barkley,russell-a-barkley
217397,Tracy Hogg,tracy-hogg
217399,Melinda Blau,melinda-blau
8252966,Thạc sĩ Tâm lý học Đỗ Thanh Huyền,thac-si-tam-ly-hoc-do-thanh-huyen
8252967,Trần Diệu Hằng (Huấn luyện viên dinh dưỡng và sức khỏe nội tiết),tran-dieu-hang-huan-luyen-vien-dinh-duong-va-suc-khoe-noi-tiet
8252968,Tiến sĩ Xã hội học Phạm Thị Thuý,tien-si-xa-hoi-hoc-pham-thi-thuy
45741,Hồ Thị Hải Âu,ho-thi-hai-au
195107,Nicola Morgan,nicola-morgan
5536839,PhD Alice Miller,phd-alice-miller
177453,Susan Perrow,susan-perrow
252207,Dr. C. L. Claridge,dr-c-l-claridge
319811,Phan Hồ Điệp,phan-ho-diep
8259351,John J. Medina,john-j-medina
114572,Kubota Kayoko,kubota-kayoko
19878,Kubota Kisou,kubota-kisou
4043,.,
212749,Urako Kanamori,urako-kanamori
613615,Leonard Sax,leonard-sax
13865,Doãn Kiến Lợi,doan-kien-loi
41439,BS. Steven P. Shelov - Shelly Vaziri Flais,bs-steven-p-shelov-shelly-vaziri-flais
662641,Tiền Nguyên Vĩ,tien-nguyen-vi
